drug_id,source,inchikey,nn_analog,target_chembl_id,sim_score,org_class,target_name,calibrated,wall,depth
VER-155008,broad_hub,ZXGGCBQORXDVTE-UMCMBGNQSA-N,0.3827160596847534,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VGX-1027,broad_hub,MUFJHYRCIHHATF-SECBINFHSA-N,0.5454545617103577,CHEMBL2026,0.3617021143436432,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
VL285,broad_hub,HEDFFPYRFJKXQP-VJTSUQJLSA-N,0.3125,CHEMBL2026,0.3125,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
VLX600,broad_hub,UQOSBPRTQFFUOA-UHFFFAOYSA-N,0.3653846085071563,CHEMBL2026,0.3653846085071563,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VP-20629,broad_hub,GOLXRNDWAUTYKT-UHFFFAOYSA-N,0.6111111044883728,CHEMBL2026,0.6111111044883728,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
VU0155069,broad_hub,DRIMIUYGTDAQOX-KRWDZBQOSA-N,0.3333333432674408,CHEMBL2026,0.3058823645114898,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
VU0357121,broad_hub,AHCYOTLTLQTPSU-UHFFFAOYSA-N,0.4285714328289032,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VU0360172,broad_hub,NEMHWVUKNWAKTM-UHFFFAOYSA-N,0.3703703582286834,CHEMBL2026,0.3703703582286834,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VU0361737,broad_hub,ARYUXFNGXHNNDM-UHFFFAOYSA-N,0.4146341383457184,CHEMBL2026,0.4146341383457184,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VU0364439,broad_hub,IXHCGJXBIHHIEF-UHFFFAOYSA-N,0.3461538553237915,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
VU0364739,broad_hub,MSTXJJGAXXJCBY-UHFFFAOYSA-N,0.3835616409778595,CHEMBL2026,0.3037974536418915,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VU0364770,broad_hub,SUYUTNCKIOLMAJ-UHFFFAOYSA-N,0.5,CHEMBL2026,0.4444444477558136,bacterial,Beta-lactamase,0.38,above,edge(0.45-0.5)
VU0422288,broad_hub,MZRLPXFGQKQHST-UHFFFAOYSA-N,0.3283582031726837,CHEMBL2026,0.3265306055545807,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
VU152100,broad_hub,MDNWGCQSCGNTKH-UHFFFAOYSA-N,0.4032258093357086,CHEMBL2026,0.4032258093357086,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VU29,broad_hub,KIALCSMRIHRFPL-UHFFFAOYSA-N,0.4230769276618957,CHEMBL2026,0.3181818127632141,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VU591,broad_hub,ZQPXNYLXYNRFNP-UHFFFAOYSA-N,0.409090906381607,CHEMBL2026,0.3255814015865326,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
VUF10460,broad_hub,NIJGWJIOMPHDBP-UHFFFAOYSA-N,0.5428571701049805,CHEMBL2026,0.5428571701049805,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
VX-222,broad_hub,WPMJNLCLKAKMLA-UGLKCIBTSA-N,1.0,CHEMBL4296320,1.0,viral,RNA-directed RNA polymerase,0.8,above,above(>=0.5)
WAY-170523,broad_hub,FARMEEAGJWMFSZ-UHFFFAOYSA-N,0.4404761791229248,CHEMBL2026,0.3125,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
WAY-362450,broad_hub,INASOKQDNHHMRE-UHFFFAOYSA-N,0.3134328424930572,CHEMBL2026,0.3000000119209289,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
